home_loc,dest_loc,HomeTAZfactor,superD_dest,n,dest_lat,dest_lon,HomeTAZ,home_lat,home_lon,opt_time,pes_time,transit_time
37.343156300813+-122.001208235772,37.3787519414778+-121.994584766866,459,9.0,1197,37.37875194,-121.9945848,459,37.3431563,-122.0012082,417.0,592.0,3486.0
37.3434905172414+-121.946124221264,37.3207019697235+-121.904550622856,544,11.0,773,37.32070197,-121.9045506,544,37.34349052,-121.9461242,522.0,757.0,1219.0
37.3434905172414+-121.946124221264,37.3787519414778+-121.994584766866,544,9.0,695,37.37875194,-121.9945848,544,37.34349052,-121.9461242,612.0,896.0,4227.0
37.3444739539295+-122.035869373984,37.3010931597673+-121.989369051801,456,10.0,728,37.30109316,-121.9893691,456,37.34447395,-122.0358694,598.0,989.0,4022.0
37.3444739539295+-122.035869373984,37.3787519414778+-121.994584766866,456,9.0,1195,37.37875194,-121.9945848,456,37.34447395,-122.0358694,733.0,1102.0,3947.0
37.3452427419355+-121.879096483871,37.3207019697235+-121.904550622856,550,11.0,915,37.32070197,-121.9045506,550,37.34524274,-121.8790965,495.0,731.0,1959.0
37.3459299127517+-121.932329604027,37.3207019697235+-121.904550622856,543,11.0,1210,37.32070197,-121.9045506,543,37.34592991,-121.9323296,535.0,882.0,1540.0
37.34630025+-121.8353365,37.3861960858995+-121.866317929335,590,12.0,738,37.38619609,-121.8663179,590,37.34630025,-121.8353365,469.0,640.0,1550.0
37.34667375+-122.0164936875,37.3787519414778+-121.994584766866,458,9.0,740,37.37875194,-121.9945848,458,37.34667375,-122.0164937,558.0,774.0,3022.0
37.3470984864865+-121.867727162162,37.3207019697235+-121.904550622856,551,11.0,1247,37.32070197,-121.9045506,551,37.34709849,-121.8677272,377.0,553.0,1913.0
37.3479895230061+-121.988421207055,37.3787519414778+-121.994584766866,441,9.0,1204,37.37875194,-121.9945848,441,37.34798952,-121.9884212,367.0,537.0,3138.0
37.3480767355623+-121.887662869301,37.3207019697235+-121.904550622856,548,11.0,1704,37.32070197,-121.9045506,548,37.34807674,-121.8876629,461.0,741.0,1566.0
37.3480767355623+-121.887662869301,37.3787519414778+-121.994584766866,548,9.0,712,37.37875194,-121.9945848,548,37.34807674,-121.8876629,801.0,1189.0,4724.0
37.350347075+-121.9464859,37.3207019697235+-121.904550622856,545,11.0,747,37.32070197,-121.9045506,545,37.35034708,-121.9464859,667.0,1121.0,1331.0
37.3507842608696+-121.821375826087,37.3861960858995+-121.866317929335,639,12.0,822,37.38619609,-121.8663179,639,37.35078426,-121.8213758,503.0,674.0,3062.0
37.3513239+-121.8124349,37.3861960858995+-121.866317929335,638,12.0,770,37.38619609,-121.8663179,638,37.3513239,-121.8124349,517.0,807.0,3664.0
37.3523087826087+-121.849820768116,37.3207019697235+-121.904550622856,591,11.0,857,37.32070197,-121.9045506,591,37.35230878,-121.8498208,451.0,624.0,2460.0
37.3523087826087+-121.849820768116,37.3861960858995+-121.866317929335,591,12.0,1383,37.38619609,-121.8663179,591,37.35230878,-121.8498208,470.0,618.0,2306.0
37.3549339158878+-122.006365794393,37.3787519414778+-121.994584766866,447,9.0,806,37.37875194,-121.9945848,447,37.35493392,-122.0063658,446.0,573.0,3537.0
37.3550958666667+-121.833412266667,37.3861960858995+-121.866317929335,589,12.0,1081,37.38619609,-121.8663179,589,37.35509587,-121.8334123,367.0,470.0,1836.0
37.3556087295082+-121.892022639344,37.3207019697235+-121.904550622856,547,11.0,832,37.32070197,-121.9045506,547,37.35560873,-121.8920226,506.0,842.0,1911.0
37.3560558717949+-122.155972769231,37.4088246971407+-122.110194527652,347,8.0,1005,37.4088247,-122.1101945,347,37.35605587,-122.1559728,955.0,1457.0,NA
37.3564579058824+-122.085559541176,37.4088246971407+-122.110194527652,388,8.0,744,37.4088247,-122.1101945,388,37.35645791,-122.0855595,807.0,1184.0,3501.0
37.3567040271084+-121.955103978916,37.3787519414778+-121.994584766866,433,9.0,936,37.37875194,-121.9945848,433,37.35670403,-121.955104,534.0,740.0,3244.0
37.356843+-121.9810188,37.3787519414778+-121.994584766866,442,9.0,735,37.37875194,-121.9945848,442,37.356843,-121.9810188,398.0,516.0,2320.0
37.3579669545455+-121.852113545455,37.3861960858995+-121.866317929335,594,12.0,973,37.38619609,-121.8663179,594,37.35796695,-121.8521135,413.0,551.0,1574.0
37.3581420745098+-121.965433745098,37.3787519414778+-121.994584766866,437,9.0,1136,37.37875194,-121.9945848,437,37.35814207,-121.9654337,375.0,538.0,2782.0
37.3587976079295+-122.029776334802,37.3787519414778+-121.994584766866,449,9.0,1056,37.37875194,-121.9945848,449,37.35879761,-122.0297763,460.0,686.0,3098.0
37.3592738333333+-121.972437333333,37.3787519414778+-121.994584766866,438,9.0,799,37.37875194,-121.9945848,438,37.35927383,-121.9724373,398.0,552.0,2178.0
37.3594343100304+-121.999514661094,37.3787519414778+-121.994584766866,445,9.0,1567,37.37875194,-121.9945848,445,37.35943431,-121.9995147,271.0,398.0,3356.0
37.3603473375+-121.992503525,37.3787519414778+-121.994584766866,444,9.0,1152,37.37875194,-121.9945848,444,37.36034734,-121.9925035,294.0,408.0,3212.0
37.3610351666667+-121.832083666667,37.3861960858995+-121.866317929335,634,12.0,1013,37.38619609,-121.8663179,634,37.36103517,-121.8320837,413.0,593.0,2122.0
37.3626907207207+-121.855596108108,37.3861960858995+-121.866317929335,597,12.0,946,37.38619609,-121.8663179,597,37.36269072,-121.8555961,367.0,520.0,1341.0
37.3629262439024+-122.020717809756,37.3787519414778+-121.994584766866,448,9.0,1500,37.37875194,-121.9945848,448,37.36292624,-122.0207178,408.0,576.0,3179.0
37.3633603425+-122.053832035,37.3787519414778+-121.994584766866,453,9.0,1084,37.37875194,-121.9945848,453,37.36336034,-122.053832,621.0,831.0,4428.0
37.3658547936508+-122.203865380952,37.4721443506494+-122.218101215133,298,7.0,802,37.47214435,-122.2181012,298,37.36585479,-122.2038654,1108.0,1468.0,4357.0
37.3659335121951+-121.842659487805,37.3861960858995+-121.866317929335,595,12.0,1383,37.38619609,-121.8663179,595,37.36593351,-121.8426595,335.0,427.0,1579.0
37.3668596+-121.8107082,37.3861960858995+-121.866317929335,636,12.0,986,37.38619609,-121.8663179,636,37.3668596,-121.8107082,633.0,859.0,3284.0
37.3679329235294+-122.035639205882,37.3787519414778+-121.994584766866,451,9.0,1020,37.37875194,-121.9945848,451,37.36793292,-122.0356392,527.0,787.0,3079.0
37.3687883888889+-121.82072025,37.3861960858995+-121.866317929335,635,12.0,810,37.38619609,-121.8663179,635,37.36878839,-121.8207203,495.0,729.0,2844.0
37.369379755102+-121.993243102041,37.3787519414778+-121.994584766866,443,9.0,933,37.37875194,-121.9945848,443,37.36937976,-121.9932431,264.0,367.0,2427.0
37.3705806847195+-122.013512421663,37.3787519414778+-121.994584766866,446,9.0,1653,37.37875194,-121.9945848,446,37.37058068,-122.0135124,249.0,346.0,2172.0
37.3719628666667+-121.832921866667,37.3861960858995+-121.866317929335,633,12.0,1555,37.38619609,-121.8663179,633,37.37196287,-121.8329219,368.0,551.0,3212.0
37.3726630434783+-122.104121521739,37.4088246971407+-122.110194527652,384,8.0,921,37.4088247,-122.1101945,384,37.37266304,-122.1041215,580.0,928.0,NA
37.3743651621622+-121.867180378378,37.3207019697235+-121.904550622856,598,11.0,676,37.32070197,-121.9045506,598,37.37436516,-121.8671804,602.0,810.0,4036.0
