HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
38,5.0,42.0,75.0,69,37.80268055913979,-122.40627620788531,37.65355542190556,-122.44983365772562
38,18.0,45.0,79.0,60,37.80268055913979,-122.40627620788531,37.79525905351587,-122.23454234396391
38,19.0,38.0,60.0,29,37.80268055913979,-122.40627620788531,37.86314654588441,-122.27415722294221
39,1.0,9.0,12.0,897,37.80182176,-122.415063,37.788717654718205,-122.40900092053552
39,2.0,16.0,39.0,172,37.801821756578946,-122.4150629868421,37.78494491888719,-122.44528827456274
39,3.0,31.0,34.0,157,37.801821756578946,-122.4150629868421,37.75073743885415,-122.42052814221317
39,4.0,30.0,44.0,26,37.801821756578946,-122.4150629868421,37.742438374444,-122.4808705677315
39,5.0,34.0,83.0,30,37.801821756578946,-122.4150629868421,37.65355542190556,-122.44983365772562
39,18.0,44.0,72.0,44,37.801821756578946,-122.4150629868421,37.79525905351587,-122.23454234396391
39,19.0,39.0,83.0,30,37.801821756578946,-122.4150629868421,37.86314654588441,-122.27415722294221
40,1.0,12.0,17.0,927,37.80277644,-122.4221841,37.788717654718205,-122.40900092053552
40,2.0,13.0,30.0,212,37.80277644,-122.4221841,37.78494491888719,-122.44528827456274
40,3.0,30.0,42.0,173,37.8027764353562,-122.42218407124011,37.75073743885415,-122.42052814221317
40,4.0,27.0,44.0,33,37.8027764353562,-122.42218407124011,37.742438374444,-122.4808705677315
40,5.0,45.0,75.0,52,37.8027764353562,-122.42218407124011,37.65355542190556,-122.44983365772562
40,18.0,47.0,69.0,53,37.8027764353562,-122.42218407124011,37.79525905351587,-122.23454234396391
40,19.0,39.0,68.0,29,37.8027764353562,-122.42218407124011,37.86314654588441,-122.27415722294221
41,1.0,12.0,18.0,750,37.80544999,-122.4109371,37.788717654718205,-122.40900092053552
41,2.0,18.0,33.0,156,37.805449986111114,-122.41093705555556,37.78494491888719,-122.44528827456274
41,3.0,36.0,42.0,113,37.805449986111114,-122.41093705555556,37.75073743885415,-122.42052814221317
41,4.0,31.0,46.0,21,37.805449986111114,-122.41093705555556,37.742438374444,-122.4808705677315
41,5.0,40.0,71.0,36,37.805449986111114,-122.41093705555556,37.65355542190556,-122.44983365772562
41,18.0,43.0,64.0,51,37.805449986111114,-122.41093705555556,37.79525905351587,-122.23454234396391
41,19.0,36.0,59.0,30,37.805449986111114,-122.41093705555556,37.86314654588441,-122.27415722294221
42,1.0,22.0,33.0,1161,37.82243991,-122.3679895,37.788717654718205,-122.40900092053552
42,2.0,28.0,49.0,212,37.82243991,-122.3679895,37.78494491888719,-122.44528827456274
42,3.0,20.0,38.0,331,37.82243991,-122.3679895,37.75073743885415,-122.42052814221317
42,4.0,40.0,6.0,115,37.82243990909091,-122.36798945454545,37.742438374444,-122.4808705677315
42,5.0,34.0,69.0,85,37.82243990909091,-122.36798945454545,37.65355542190556,-122.44983365772562
42,6.0,36.0,121.0,31,37.82243990909091,-122.36798945454545,37.54880006373962,-122.3030570928971
42,17.0,29.0,94.0,33,37.82243990909091,-122.36798945454545,37.68087262885738,-122.10114864275785
42,18.0,18.0,72.0,210,37.82243991,-122.3679895,37.79525905351587,-122.23454234396391
42,19.0,26.0,22.0,131,37.82243990909091,-122.36798945454545,37.86314654588441,-122.27415722294221
42,20.0,30.0,129.0,26,37.82243990909091,-122.36798945454545,37.95530967448472,-122.30572557462686
42,22.0,30.0,40.0,28,37.82243990909091,-122.36798945454545,37.89988801424148,-122.07315348823529
