taz_key,median_rent,no_of_rentals,taz_driving,taz_transit,commuter_count,home_superD,commute_cost_min,commute_cost_median,all_costs,all_index,com_index,rent_index
102.0,3795.0,173,20.0,28.0,2140,3.0,147.0,436.0,4231.0,46.0,25.0,45.0
103.0,3600.0,214,20.0,30.0,1861,3.0,150.0,446.0,4046.0,44.0,25.0,42.0
104.0,3200.0,21,18.0,24.0,1282,3.0,130.0,387.0,3587.0,39.0,22.0,38.0
105.0,3350.0,172,16.0,28.0,2431,3.0,127.0,377.0,3727.0,41.0,21.0,39.0
106.0,3407.0,209,16.0,22.0,2278,3.0,117.0,347.0,3754.0,41.0,20.0,40.0
107.0,2700.0,43,18.0,25.0,866,3.0,132.0,391.0,3091.0,34.0,22.0,32.0
108.0,3195.0,11,15.0,29.0,147,3.0,123.0,367.0,3562.0,39.0,21.0,38.0
109.0,3550.0,530,17.0,29.0,1232,3.0,133.0,396.0,3946.0,43.0,23.0,42.0
110.0,3795.0,363,19.0,25.0,217,3.0,137.0,406.0,4201.0,46.0,23.0,45.0
111.0,4195.0,335,18.0,35.0,620,3.0,148.0,441.0,4636.0,51.0,25.0,49.0
112.0,3850.0,191,17.0,33.0,802,3.0,140.0,416.0,4266.0,47.0,24.0,45.0
113.0,3650.0,134,18.0,36.0,2066,3.0,150.0,446.0,4096.0,45.0,25.0,43.0
114.0,4500.0,122,19.0,36.0,1170,3.0,155.0,461.0,4961.0,54.0,26.0,53.0
115.0,4650.0,44,15.0,27.0,535,3.0,120.0,357.0,5007.0,55.0,20.0,55.0
116.0,3400.0,37,17.0,30.0,2169,3.0,135.0,401.0,3801.0,41.0,23.0,40.0
117.0,3100.0,41,15.0,24.0,1988,3.0,115.0,342.0,3442.0,38.0,19.0,36.0
118.0,3400.0,153,16.0,21.0,2137,3.0,115.0,342.0,3742.0,41.0,19.0,40.0
119.0,4400.0,13,15.0,23.0,942,3.0,113.0,337.0,4737.0,52.0,19.0,52.0
120.0,3700.0,62,16.0,30.0,1361,3.0,130.0,387.0,4087.0,45.0,22.0,44.0
121.0,1900.0,43,19.0,37.0,1169,3.0,157.0,466.0,2366.0,26.0,27.0,22.0
122.0,3550.0,75,19.0,35.0,2123,3.0,153.0,456.0,4006.0,44.0,26.0,42.0
123.0,3547.5,38,18.0,28.0,1534,3.0,137.0,406.0,3953.5,43.0,23.0,42.0
124.0,3335.0,64,16.0,30.0,1281,3.0,130.0,387.0,3722.0,41.0,22.0,39.0
125.0,3600.0,43,17.0,31.0,1150,3.0,137.0,406.0,4006.0,44.0,23.0,42.0
126.0,3600.0,87,16.0,28.0,1505,3.0,127.0,377.0,3977.0,43.0,21.0,42.0
127.0,3795.0,69,18.0,32.0,1526,3.0,143.0,426.0,4221.0,46.0,24.0,45.0
128.0,3600.0,127,18.0,31.0,2008,3.0,142.0,421.0,4021.0,44.0,24.0,42.0
129.0,3495.0,219,20.0,35.0,1404,3.0,158.0,471.0,3966.0,43.0,27.0,41.0
130.0,3500.0,37,18.0,32.0,1423,3.0,143.0,426.0,3926.0,43.0,24.0,41.0
131.0,3987.5,100,20.0,39.0,2336,3.0,165.0,491.0,4478.5,49.0,28.0,47.0
132.0,3875.0,16,19.0,39.0,1417,3.0,160.0,476.0,4351.0,47.0,27.0,46.0
133.0,3100.0,265,17.0,31.0,2380,3.0,137.0,406.0,3506.0,38.0,23.0,36.0
134.0,3500.0,37,16.0,31.0,2885,3.0,132.0,391.0,3891.0,42.0,22.0,41.0
135.0,3200.0,12,18.0,35.0,2020,3.0,148.0,441.0,3641.0,40.0,25.0,38.0
136.0,2200.0,9,17.0,31.0,1014,3.0,137.0,406.0,2606.0,28.0,23.0,26.0
137.0,3e3,27,17.0,32.0,2083,3.0,138.0,411.0,3411.0,37.0,23.0,35.0
138.0,2850.0,30,19.0,39.0,3387,3.0,160.0,476.0,3326.0,36.0,27.0,34.0
139.0,3200.0,26,19.0,37.0,1810,3.0,157.0,466.0,3666.0,40.0,27.0,38.0
140.0,2880.0,37,20.0,46.0,1602,3.0,177.0,525.0,3405.0,37.0,30.0,34.0
141.0,2950.0,17,18.0,38.0,852,3.0,153.0,456.0,3406.0,37.0,26.0,35.0
142.0,3650.0,35,11.0,18.0,53,3.0,85.0,253.0,3903.0,43.0,14.0,43.0
143.0,2500.0,16,19.0,40.0,525,3.0,162.0,481.0,2981.0,33.0,27.0,29.0
144.0,3300.0,19,20.0,44.0,1436,3.0,173.0,515.0,3815.0,42.0,29.0,39.0
145.0,2175.0,15,21.0,52.0,1461,3.0,192.0,570.0,2745.0,30.0,32.0,26.0
146.0,1150.0,1,26.0,49.0,260,3.0,212.0,629.0,1779.0,19.0,36.0,14.0
147.0,3e3,78,21.0,46.0,1504,3.0,182.0,540.0,3540.0,39.0,31.0,35.0
